Designator,Footprint,Quantity,Value,LCSC Part #,JLCPCB Part #,JLCPCB,MPN,MFR.Part #
C1,1206,1,4.7uF,C1872,C1872,C1872,CL31B475KAHNNNE,
"C10, C11, C14, C17, C18, C20, C21, C29, C30, C31, C32, C33, C34, C9",1206,14,10uF,C13585,C13585,C13585,CL31A106KBHNNNE,
"C12, C13, C15, C2, C3, C6, C8",0402,7,100nF,C1525,C1525,C1525,CL05B104KO5NNNC,
"C16, C19, C26, C27, C28, C5",1206,6,2.2uF,C50254,C50254,C50254,CL31B225KBHNNNE,
"C22, C23",1206,2,22uF,C12891,C12891,C12891,CL31A226KAHNNNE,
"C24, C25",1206,2,1uF,C1848,C1848,C1848,CL31B105KBHNNNE,
C4,1206,1,470nF,C71084,C71084,C71084,CL31B474KBHNNNE,
"D1, D2",D_SOD-523,2,LESD5D5.0CT1G,C5199850,C5199850,C5199850,LESD5D5.0CT1G(UMW),
"D3, D4, D5, D6, D7, D8",ws2812b_1010,6,TZ-H1010-RGB/A-BU08UF-TA1305NA/W109,C41347988,C41347988,C41347988,TZ-H1010-RGB/A-BU08UF-TA1305NA/W109,TZ-H1010-RGB/A-BU08UF-TA1305NA/W109
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,C165948,C165948,C165948,TYPE-C-31-M-12,
L1,L_Taiyo-Yuden_NR-30xx,1,ZENR3015T100M-10uH,C42427989,C42427989,C42427989,ZENR3015T100M-10uH,
L2,L_Wuerth_HCI-7030,1,1uH,C280920,C280920,C280920,MAPM0630F-1R0M-LF,
"L3, L4, L5",SMMS0650-101M,3,100uH,C2894722,C2894722,C2894722,SMMS0650-101M,
"R1, R2",0402,2,5.1kΩ,C25905,C25905,C25905,0402WGF5101TCE,
R10,0402,1,2Ω,C25157,C25157,C25157,0402WGJ020JTCE,
R11,0402,1,100kΩ,C25741,C25741,C25741,0402WGF1003TCE,
"R12, R13",0402,2,2.7kΩ,C25885,C25885,C25885,0402WGF2701TCE,0402WGF2701TCE
"R3, R4",0402,2,3.3kΩ,C25890,C25890,C25890,0402WGF3301TCE,
"R5, R6",0402,2,27Ω,C25100,C25100,C25100,0402WGF270JTCE,
R7,0805,1,2MΩ,C40088,C40088,C40088,0805W8J0205T5E,
R8,0402,1,1MΩ,C26083,C26083,C26083,0402WGF1004TCE,
R9,1206,1,10mΩ,C7467248,C7467248,C7467248,FRM121WFR010TM,
"SW1, SW2",SW_Push_SPST_NO_Alps_SKRK,2,TS-1088-AR02016,C720477,C720477,C720477,TS-1088-AR02016,
SW3,SW_SPST_SKQG_WithStem,1,TS-1187A-C-E-B,C318887,C318887,C318887,TS-1187A-C-E-B,
"U1, U3",Texas_X2SON-4-1EP_1.1x1.4mm_P0.5mm_EP0.8x0.6mm,2,DRV5032FADMRR,C2152496,C2152496,C2152496,DRV5032FADMRR,
"U10, U11, U9",WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,3,DRV8837,C39159,C39159,C39159,DRV8837DSGR,
U2,QFN-32-1EP_4x4mm_P0.4mm_EP2.65x2.65mm,1,CH592X,C42442063,C42442063,C42442063,CH592X,
U5,SOIC-8_5.3x5.3mm_P1.27mm,1,PY25Q64HA-SUH-IR,C22438999,C22438999,C22438999,PY25Q64HA-SUH-IR,
U6,SSOP-24_3.9x8.7mm_P0.635mm,1,WT2003H4-24SS,C2931181,C2931181,C2931181,WT2003H4-24SS,
U7,QFN-24-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,1,IP5209T,C284964,C284964,C284964,IP5209T,
U8,SOT-23-5,1,ME6211C33M5,C82942,C82942,C82942,ME6211C33M5G-N,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,32MHz,C9009,C9009,C9009,X322532MOB4SI,
