Designator,Mid X,Mid Y,Rotation,Layer
C1,169.0,-84.775,90.0,top
C10,106.8,-86.35,270.0,top
C11,196.75,-142.75,180.0,top
C12,202.0,-145.0,90.0,top
C13,202.0,-143.0,270.0,top
C14,202.125,-134.15,180.0,top
C15,203.0,-143.0,270.0,top
C16,208.775,-139.25,0.0,top
C17,94.225,-76.2,180.0,top
C18,202.125,-131.7,180.0,top
C19,196.275,-138.25,180.0,top
C2,168.77,-91.5,0.0,top
C20,208.75,-136.0,180.0,top
C21,208.75,-133.5,180.0,top
C22,208.75,-131.0,180.0,top
C23,208.75,-128.5,180.0,top
C24,215.5,-136.75,0.0,top
C25,215.525,-129.25,0.0,top
C26,158.75,-82.25,270.0,top
C27,158.75,-91.225,270.0,top
C28,158.75,-99.75,270.0,top
C29,155.0,-81.25,0.0,top
C3,82.9,-93.45,270.0,top
C30,155.025,-90.225,0.0,top
C31,155.025,-98.775,0.0,top
C32,140.675,-86.675,270.0,top
C33,140.675,-95.525,270.0,top
C34,140.675,-104.325,270.0,top
C4,178.4,-85.325,90.0,top
C5,167.775,-93.5,180.0,top
C6,191.35,-106.3,180.0,top
C8,94.62,-77.97,180.0,top
C9,196.75,-145.25,180.0,top
D1,207.5,-118.05,270.0,top
D2,207.5,-121.25,90.0,top
D3,103.7,-69.15,0.0,top
D4,107.45,-124.7,180.0,top
D5,90.275,-92.475,180.0,top
D6,189.2,-140.1,0.0,top
D7,109.225,-90.625,180.0,top
D8,210.375,-110.575,0.0,top
J1,214.205,-119.6525,90.0,top
L1,168.4,-89.0,0.0,top
L2,207.825,-144.6,0.0,top
L3,148.025,-86.675,0.0,top
L4,148.025,-95.525,0.0,top
L5,148.025,-104.325,0.0,top
R1,209.26,-121.2,180.0,top
R10,202.99,-130.0,0.0,top
R11,195.74,-136.4,0.0,top
R12,174.25,-95.25,90.0,top
R13,175.5,-95.24,90.0,top
R2,209.26,-118.25,180.0,top
R3,196.75,-133.74,270.0,top
R4,196.75,-131.5,90.0,top
R5,205.49,-120.5,0.0,top
R6,205.49,-118.75,0.0,top
R7,199.75,-139.01,270.0,top
R8,197.74,-140.25,180.0,top
R9,200.25,-143.9625,270.0,top
SW1,183.1,-101.1,0.0,top
SW2,183.1,-105.05,0.0,top
SW3,179.15,-145.9,0.0,top
U1,80.3,-92.175,90.0,top
U10,154.8,-93.0,0.0,top
U11,154.75,-101.5,0.0,top
U2,173.5125,-89.5,270.0,top
U3,193.165894,-109.366734,245.0,top
U5,93.32,-81.52,270.0,top
U6,101.7,-83.1075,270.0,top
U7,203.32,-138.2,270.0,top
U8,215.275,-133.0,0.0,top
U9,154.75,-84.0,0.0,top
Y1,179.25,-89.85,270.0,top
